,date,one_rep_max,mean_reps,routine,completion_rate,total_volume,max_weight,workout_day,primary_lift,days_since_last_workout,days_since_last_workout_day,weekday,age,bodyweight
129,2016-08-02,325.0,9.1,n/a,1.0,50255.0,265.0,Legs,Deadlift,5 days 00:00:00.000000000,8 days 00:00:00.000000000,Tuesday,21,213.8
130,2016-08-03,180.0,10.476190476190476,n/a,1.0,10625.0,135.0,Back,Seated Cable Row,1 days 00:00:00.000000000,19 days 00:00:00.000000000,Wednesday,21,213.8
131,2016-08-06,233.33333333333334,5.0,n/a,1.0,7375.0,200.0,Chest,Flat Barbell Bench Press,3 days 00:00:00.000000000,21 days 00:00:00.000000000,Saturday,21,214.0
132,2016-08-08,217.0,9.533333333333333,n/a,1.0,18755.0,155.0,Shoulders,Barbell Shrug,2 days 00:00:00.000000000,12 days 00:00:00.000000000,Monday,21,214.0
133,2016-08-09,333.33333333333337,10.181818181818182,n/a,1.0,41240.0,265.0,Legs,Barbell Squat,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Tuesday,21,214.0
134,2016-08-10,154.0,10.842105263157896,n/a,1.0,8910.0,110.0,Back,Rear Delt Machine Fly,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,21,214.0
135,2016-08-12,239.16666666666666,9.791666666666666,n/a,1.0,22665.0,205.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,6 days 00:00:00.000000000,Friday,21,212.0
136,2016-08-15,341.66666666666663,10.571428571428571,n/a,1.0,41830.0,265.0,Legs,Barbell Squat,3 days 00:00:00.000000000,6 days 00:00:00.000000000,Monday,21,212.0
137,2016-08-16,224.0,8.8,n/a,1.0,12210.0,160.0,Shoulders,Barbell Shrug,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Tuesday,21,212.0
138,2016-08-17,161.0,7.571428571428571,n/a,1.0,5665.0,115.0,Back,Rear Delt Machine Fly,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,21,212.0
139,2016-08-22,245.0,8.9,n/a,1.0,19535.0,210.0,Chest,Flat Barbell Bench Press,5 days 00:00:00.000000000,10 days 00:00:00.000000000,Monday,21,213.0
140,2016-08-24,350.0,10.275862068965518,n/a,1.0,47500.0,270.0,Legs,Barbell Squat,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Wednesday,21,213.0
141,2016-08-25,231.0,8.352941176470589,n/a,1.0,19510.0,165.0,Shoulders,Barbell Shrug,1 days 00:00:00.000000000,9 days 00:00:00.000000000,Thursday,21,213.0
142,2016-08-27,250.83333333333334,5.666666666666667,n/a,1.0,8580.0,215.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Saturday,21,207.5
143,2016-08-30,164.66666666666666,6.083333333333333,n/a,1.0,4329.0,130.0,Shoulders,Overhead Press,3 days 00:00:00.000000000,5 days 00:00:00.000000000,Tuesday,21,207.5
144,2016-09-01,358.33333333333337,10.428571428571429,n/a,1.0,32150.0,275.0,Legs,Barbell Squat,2 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,21,207.5
145,2016-09-02,250.83333333333334,8.142857142857142,n/a,1.0,11785.0,215.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,6 days 00:00:00.000000000,Friday,21,207.5
146,2016-09-05,164.66666666666666,7.2727272727272725,n/a,1.0,5284.0,130.0,Shoulders,Overhead Press,3 days 00:00:00.000000000,6 days 00:00:00.000000000,Monday,21,211.5
147,2016-09-07,375.0,10.217391304347826,n/a,1.0,36235.0,280.0,Legs,Barbell Squat,2 days 00:00:00.000000000,6 days 00:00:00.000000000,Wednesday,21,211.5
148,2016-09-10,256.6666666666667,6.92,n/a,1.0,12310.0,220.0,Chest,Flat Barbell Bench Press,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Saturday,21,211.5
149,2016-09-12,171.0,7.833333333333333,n/a,1.0,6415.0,135.0,Shoulders,Overhead Press,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,21,204.5
150,2016-09-15,383.33333333333337,10.772727272727273,n/a,1.0,36158.0,285.0,Legs,Barbell Squat,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,21,204.5
151,2016-09-19,171.0,7.666666666666667,n/a,1.0,6792.0,135.0,Shoulders,Overhead Press,4 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,21,204.5
152,2016-09-20,391.66666666666663,10.909090909090908,n/a,1.0,37006.0,285.0,Legs,Barbell Squat,1 days 00:00:00.000000000,5 days 00:00:00.000000000,Tuesday,21,204.5
153,2016-09-26,171.0,7.944444444444445,n/a,1.0,7027.0,135.0,Shoulders,Overhead Press,6 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,21,202.2
154,2016-09-30,348.0,7.714285714285714,n/a,1.0,16120.0,290.0,Legs,Barbell Squat,4 days 00:00:00.000000000,10 days 00:00:00.000000000,Friday,21,202.2
155,2016-10-01,66.66666666666667,10.714285714285714,n/a,1.0,3120.0,50.0,Back,Dumbbell Hammer Curl,1 days 00:00:00.000000000,45 days 00:00:00.000000000,Saturday,21,202.2
156,2016-10-06,259.6666666666667,9.333333333333334,n/a,1.0,8550.0,205.0,Abs,Barbell Squat,5 days 00:00:00.000000000,266 days 00:00:00.000000000,Thursday,21,202.0
157,2016-10-17,26.666666666666668,8.333333333333334,n/a,1.0,620.0,20.0,Shoulders,Standing Rear Delt Dumbbell Raise,11 days 00:00:00.000000000,21 days 00:00:00.000000000,Monday,21,200.5
158,2016-10-21,285.8333333333333,4.625,n/a,1.0,8525.0,245.0,Legs,Barbell Squat,4 days 00:00:00.000000000,21 days 00:00:00.000000000,Friday,21,200.5
159,2016-10-22,215.83333333333334,5.25,n/a,1.0,7530.0,185.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,42 days 00:00:00.000000000,Saturday,21,200.5
160,2016-10-24,33.333333333333336,9.166666666666666,n/a,1.0,775.0,25.0,Shoulders,Standing Rear Delt Dumbbell Raise,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,21,199.5
161,2016-10-28,285.8333333333333,6.6,n/a,1.0,9040.0,245.0,Legs,Barbell Squat,4 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,21,199.5
162,2016-10-31,73.33333333333333,9.5,n/a,1.0,1627.0,55.0,Back,Dumbbell Row,3 days 00:00:00.000000000,30 days 00:00:00.000000000,Monday,21,196.0
163,2016-11-05,262.5,4.5,n/a,1.0,3340.0,225.0,Legs,Barbell Squat,5 days 00:00:00.000000000,8 days 00:00:00.000000000,Saturday,21,196.0
164,2016-11-11,1.5666666666666667,9.0,n/a,1.0,27.0,1.0,Back,Pull Up,6 days 00:00:00.000000000,11 days 00:00:00.000000000,Friday,21,195.3
165,2016-11-28,93.33333333333333,10.75,n/a,1.0,2919.0,70.0,Back,Lat Pulldown,17 days 00:00:00.000000000,17 days 00:00:00.000000000,Monday,21,193.6
166,2016-12-03,66.66666666666667,10.0,n/a,1.0,3750.0,50.0,Back,Seated Cable Row Squeezes,5 days 00:00:00.000000000,5 days 00:00:00.000000000,Saturday,21,193.6
167,2016-12-06,4.0,10.0,n/a,0.5,180.0,3.0,Back,Straight Shoulder Retractiom On Swiss Ball,3 days 00:00:00.000000000,3 days 00:00:00.000000000,Tuesday,21,191.0
168,2016-12-08,106.66666666666667,11.333333333333334,n/a,1.0,3426.0,80.0,Back,Lat Pulldown,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Thursday,21,191.0
169,2016-12-11,80.0,10.0,n/a,1.0,4350.0,60.0,Back,Seated Cable Row Squeezes,3 days 00:00:00.000000000,3 days 00:00:00.000000000,Sunday,21,191.0
170,2016-12-13,4.0,10.0,n/a,0.5,180.0,3.0,Back,Straight Shoulder Retractiom On Swiss Ball,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Tuesday,21,191.6
171,2016-12-17,106.66666666666667,11.916666666666666,n/a,1.0,3533.0,80.0,Back,Lat Pulldown,4 days 00:00:00.000000000,4 days 00:00:00.000000000,Saturday,21,191.6
172,2016-12-28,6.666666666666667,10.0,n/a,0.5,300.0,5.0,Back,Straight Shoulder Retractiom On Swiss Ball,11 days 00:00:00.000000000,11 days 00:00:00.000000000,Wednesday,21,189.8
173,2016-12-30,90.0,10.0,n/a,1.0,4875.0,67.5,Back,Seated Cable Row Squeezes,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Friday,21,189.8
174,2017-01-02,113.33333333333333,12.25,n/a,1.0,3762.0,85.0,Back,Lat Pulldown,3 days 00:00:00.000000000,3 days 00:00:00.000000000,Monday,22,187.8
175,2017-01-04,8.0,10.0,n/a,0.5,350.0,6.0,Back,Straight Shoulder Retractiom On Swiss Ball,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Wednesday,22,187.8
176,2017-01-23,82.33333333333333,9.0,n/a,1.0,4790.0,65.0,Chest,Flat Dumbbell Bench Press,19 days 00:00:00.000000000,93 days 00:00:00.000000000,Monday,22,186.0
177,2017-01-25,50.666666666666664,6.421052631578948,n/a,1.0,2615.0,40.0,Back,Reverse Cable Curl,2 days 00:00:00.000000000,21 days 00:00:00.000000000,Wednesday,22,186.0
178,2017-01-28,105.0,8.666666666666666,n/a,1.0,5520.0,75.0,Legs,Oblique Curls,3 days 00:00:00.000000000,84 days 00:00:00.000000000,Saturday,22,186.0
179,2017-01-30,82.33333333333333,8.666666666666666,n/a,1.0,6022.0,65.0,Chest,Flat Dumbbell Bench Press,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,22,186.0
180,2017-02-02,40.833333333333336,6.125,n/a,1.0,1980.0,35.0,Back,Dumbbell Hammer Curl,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,22,186.0
181,2017-02-04,97.5,8.25,n/a,1.0,5505.0,75.0,Legs,Oblique Curls,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Saturday,22,186.0
182,2017-02-06,88.66666666666667,8.133333333333333,n/a,1.0,6510.0,70.0,Chest,Flat Dumbbell Bench Press,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,22,188.9
183,2017-02-09,173.33333333333334,7.076923076923077,n/a,1.0,7735.0,130.0,Back,Lat Pulldown,3 days 00:00:00.000000000,7 days 00:00:00.000000000,Thursday,22,188.9
184,2017-02-11,100.0,8.5,n/a,1.0,6090.0,75.0,Legs,Oblique Curls,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Saturday,22,188.9
185,2017-02-14,63.0,12.0,n/a,1.0,5220.0,45.0,Chest,Flat Dumbbell Bench Press,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Tuesday,22,189.2
186,2017-02-20,112.0,10.461538461538462,n/a,1.0,6344.0,80.0,Back,Lat Pulldown,6 days 00:00:00.000000000,11 days 00:00:00.000000000,Monday,22,188.5
187,2017-02-25,105.0,9.142857142857142,n/a,1.0,4440.0,75.0,Legs,Oblique Curls,5 days 00:00:00.000000000,14 days 00:00:00.000000000,Saturday,22,188.5
188,2017-03-01,95.0,8.23076923076923,n/a,1.0,6525.0,75.0,Chest,Flat Dumbbell Bench Press,4 days 00:00:00.000000000,15 days 00:00:00.000000000,Wednesday,22,188.0
189,2017-03-07,173.33333333333334,7.076923076923077,n/a,1.0,7735.0,130.0,Back,Lat Pulldown,6 days 00:00:00.000000000,15 days 00:00:00.000000000,Tuesday,22,188.9
190,2017-03-13,105.0,8.923076923076923,n/a,1.0,6820.0,75.0,Legs,Oblique Curls,6 days 00:00:00.000000000,16 days 00:00:00.000000000,Monday,22,188.9
191,2017-03-15,95.0,9.7,n/a,1.0,4625.0,75.0,Back,Flat Dumbbell Bench Press,2 days 00:00:00.000000000,8 days 00:00:00.000000000,Wednesday,22,188.9
192,2017-03-17,177.33333333333334,7.0,n/a,1.0,7450.0,140.0,Back,Lat Pulldown,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Friday,22,188.9
193,2017-03-20,95.0,7.5,n/a,1.0,4080.0,75.0,Legs,Oblique Curls,3 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,22,190.3
194,2017-03-22,95.0,8.0,n/a,1.0,8000.0,75.0,Chest,Flat Dumbbell Bench Press,2 days 00:00:00.000000000,21 days 00:00:00.000000000,Wednesday,22,190.3
195,2017-03-24,190.0,7.357142857142857,n/a,1.0,8350.0,150.0,Back,Lat Pulldown,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,190.9
196,2017-04-03,375.0,8.833333333333334,n/a,1.0,23045.0,225.0,Legs,Barbell Squat,10 days 00:00:00.000000000,14 days 00:00:00.000000000,Monday,22,189.0
197,2017-04-07,215.83333333333334,7.3,n/a,0.6,9120.0,185.0,Chest,Flat Barbell Bench Press,4 days 00:00:00.000000000,16 days 00:00:00.000000000,Friday,22,189.0
198,2017-04-09,52.5,6.190476190476191,n/a,1.0,2465.0,45.0,Back,Decline Dumbbell Curls,2 days 00:00:00.000000000,16 days 00:00:00.000000000,Sunday,22,189.0
199,2017-04-14,221.66666666666666,6.6,n/a,1.0,10525.0,190.0,Chest,Flat Barbell Bench Press,5 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,188.7
200,2017-04-19,40.833333333333336,7.0,n/a,1.0,2805.0,35.0,Back,Decline Dumbbell Curls,5 days 00:00:00.000000000,10 days 00:00:00.000000000,Wednesday,22,189.6
201,2017-04-22,227.5,4.285714285714286,n/a,1.0,5630.0,195.0,Chest,Flat Barbell Bench Press,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Saturday,22,189.6
202,2017-04-29,177.33333333333334,7.0,n/a,1.0,6220.0,140.0,Back,Lat Pulldown Pronated,7 days 00:00:00.000000000,10 days 00:00:00.000000000,Saturday,22,186.3
203,2017-05-01,233.33333333333334,7.043478260869565,n/a,1.0,19595.0,200.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Monday,22,186.3
204,2017-05-09,190.0,7.1,n/a,1.0,6455.0,150.0,Back,Lat Pulldown Pronated,8 days 00:00:00.000000000,10 days 00:00:00.000000000,Tuesday,22,191.0
205,2017-05-13,239.16666666666666,8.208333333333334,n/a,1.0,21135.0,205.0,Chest,Flat Barbell Bench Press,4 days 00:00:00.000000000,12 days 00:00:00.000000000,Saturday,22,190.9
206,2017-05-18,190.0,7.65,n/a,1.0,6950.0,150.0,Back,Lat Pulldown Pronated,5 days 00:00:00.000000000,9 days 00:00:00.000000000,Thursday,22,189.6
207,2017-05-20,239.16666666666666,6.333333333333333,n/a,1.0,12490.0,205.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Saturday,22,189.6
208,2017-05-31,233.33333333333334,7.055555555555555,n/a,1.0,12740.0,200.0,Chest,Flat Barbell Bench Press,11 days 00:00:00.000000000,11 days 00:00:00.000000000,Wednesday,22,193.8
209,2017-06-02,202.66666666666666,8.052631578947368,n/a,1.0,7310.0,160.0,Back,Lat Pulldown Pronated,2 days 00:00:00.000000000,15 days 00:00:00.000000000,Friday,22,193.8
210,2017-06-15,150.0,20.0,n/a,1.0,9000.0,90.0,Legs,Seated Calf Raise Machine,13 days 00:00:00.000000000,73 days 00:00:00.000000000,Thursday,22,188.8
211,2017-06-17,240.0,6.277777777777778,n/a,1.0,11835.0,225.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,17 days 00:00:00.000000000,Saturday,22,188.8
212,2017-06-19,205.83333333333334,7.526315789473684,n/a,1.0,7590.0,162.5,Back,Lat Pulldown Pronated,2 days 00:00:00.000000000,17 days 00:00:00.000000000,Monday,22,188.8
213,2017-06-28,245.0,6.181818181818182,n/a,1.0,9440.0,210.0,Chest,Flat Barbell Bench Press,9 days 00:00:00.000000000,11 days 00:00:00.000000000,Wednesday,22,189.8
214,2017-06-30,219.76666666666665,8.1875,n/a,1.0,7164.0,173.5,Back,Lat Pulldown Pronated,2 days 00:00:00.000000000,11 days 00:00:00.000000000,Friday,22,189.8
215,2017-07-07,245.0,6.153846153846154,n/a,1.0,11230.0,210.0,Chest,Flat Barbell Bench Press,7 days 00:00:00.000000000,9 days 00:00:00.000000000,Friday,22,188.6
216,2017-07-10,58.333333333333336,8.23076923076923,n/a,1.0,3120.0,50.0,Back,Chin Up,3 days 00:00:00.000000000,10 days 00:00:00.000000000,Monday,22,188.6
217,2017-07-17,250.83333333333334,6.153846153846154,n/a,1.0,11520.0,215.0,Chest,Flat Barbell Bench Press,7 days 00:00:00.000000000,10 days 00:00:00.000000000,Monday,22,188.2
218,2017-07-24,228.0,7.823529411764706,n/a,1.0,7635.0,180.0,Back,Lat Pulldown Pronated,7 days 00:00:00.000000000,14 days 00:00:00.000000000,Monday,22,187.6
219,2017-07-26,224.0,12.0,n/a,1.0,16620.0,160.0,Chest,Seated Machine Fly,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Wednesday,22,187.6
220,2017-08-01,52.5,7.625,n/a,1.0,2965.0,45.0,Back,Pull Up,6 days 00:00:00.000000000,8 days 00:00:00.000000000,Tuesday,22,187.6
221,2017-08-04,245.0,5.714285714285714,n/a,1.0,11865.0,210.0,Chest,Flat Barbell Bench Press,3 days 00:00:00.000000000,9 days 00:00:00.000000000,Friday,22,189.8
222,2017-08-07,58.333333333333336,7.823529411764706,n/a,1.0,3437.5,50.0,Shoulders,Pull Up,3 days 00:00:00.000000000,287 days 00:00:00.000000000,Monday,22,189.8
223,2017-08-09,250.83333333333334,5.133333333333334,n/a,1.0,11620.0,215.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Wednesday,22,189.8
224,2017-08-14,64.16666666666667,8.0,n/a,1.0,3500.0,55.0,Back,Pull Up,5 days 00:00:00.000000000,13 days 00:00:00.000000000,Monday,22,188.4
225,2017-08-17,250.83333333333334,8.75,n/a,1.0,20990.0,215.0,Chest,Flat Barbell Bench Press,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,22,188.4
226,2017-09-11,215.83333333333334,6.571428571428571,n/a,1.0,13710.0,185.0,Chest,Flat Barbell Bench Press,25 days 00:00:00.000000000,25 days 00:00:00.000000000,Monday,22,189.8
227,2017-09-13,52.5,8.23076923076923,n/a,1.0,2635.0,45.0,Back,Pull Up,2 days 00:00:00.000000000,30 days 00:00:00.000000000,Wednesday,22,189.8
228,2017-09-14,50.666666666666664,8.0,n/a,1.0,1640.0,40.0,Legs,One-Legged Dumbbell Deadlift,1 days 00:00:00.000000000,91 days 00:00:00.000000000,Thursday,22,189.8
229,2017-09-18,215.83333333333334,6.769230769230769,n/a,1.0,13710.0,185.0,Chest,Flat Barbell Bench Press,4 days 00:00:00.000000000,7 days 00:00:00.000000000,Monday,22,189.8
230,2017-09-20,58.333333333333336,8.23076923076923,n/a,1.0,2760.0,50.0,Back,Pull Up,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,22,189.8
231,2017-09-27,57.0,8.0,n/a,1.0,2448.0,45.0,Legs,One-Legged Dumbbell Deadlift,7 days 00:00:00.000000000,13 days 00:00:00.000000000,Wednesday,22,189.8
232,2017-09-28,58.333333333333336,5.533333333333333,n/a,1.0,2780.0,50.0,Back,Pull Up,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,22,189.8
233,2017-09-29,221.66666666666666,7.222222222222222,n/a,1.0,15310.0,190.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,11 days 00:00:00.000000000,Friday,22,189.8
234,2017-10-04,64.16666666666667,6.923076923076923,n/a,1.0,3230.0,55.0,Back,Pull Up,5 days 00:00:00.000000000,6 days 00:00:00.000000000,Wednesday,22,189.8
235,2017-10-05,63.333333333333336,8.0,n/a,1.0,2128.0,50.0,Legs,One-Legged Dumbbell Deadlift,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,22,189.8
236,2017-10-06,227.5,5.615384615384615,n/a,1.0,11895.0,195.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
237,2017-10-11,64.16666666666667,7.3076923076923075,n/a,1.0,3755.0,55.0,Back,Pull Up,5 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,22,189.8
238,2017-10-12,63.333333333333336,8.166666666666666,n/a,1.0,2850.0,50.0,Legs,One-Legged Dumbbell Deadlift,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Thursday,22,189.8
239,2017-10-13,233.33333333333334,6.5,n/a,1.0,15360.0,200.0,Chest,Flat Barbell Bench Press,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
240,2017-10-18,64.16666666666667,7.3076923076923075,n/a,1.0,4055.0,55.0,Back,Pull Up,5 days 00:00:00.000000000,7 days 00:00:00.000000000,Wednesday,22,189.8
241,2017-10-19,262.5,6.75,n/a,1.0,9145.0,225.0,Legs,Deadlift,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Thursday,22,189.8
242,2017-10-20,245.0,4.666666666666667,n/a,1.0,13415.0,210.0,Chest,Lat Pulldown Pronated,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
243,2017-10-25,66.66666666666667,7.333333333333333,n/a,1.0,3920.0,55.0,Shoulders,Pull Up,5 days 00:00:00.000000000,79 days 00:00:00.000000000,Wednesday,22,189.8
244,2017-10-26,268.3333333333333,4.25,n/a,1.0,13995.0,230.0,Chest,Lat Pulldown Pronated,1 days 00:00:00.000000000,6 days 00:00:00.000000000,Thursday,22,189.8
245,2017-11-03,225.5,3.8,n/a,1.0,3505.0,210.0,Chest,Flat Barbell Bench Press,8 days 00:00:00.000000000,8 days 00:00:00.000000000,Friday,22,189.8
246,2017-11-08,73.33333333333333,7.230769230769231,n/a,1.0,4525.0,60.0,Back,Pull Up,5 days 00:00:00.000000000,21 days 00:00:00.000000000,Wednesday,22,189.8
247,2017-11-10,291.3333333333333,5.166666666666667,n/a,1.0,12415.0,230.0,Chest,Lat Pulldown Pronated,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
248,2017-11-16,73.33333333333333,7.5,n/a,1.0,2730.0,60.0,Shoulders,Pull Up,6 days 00:00:00.000000000,22 days 00:00:00.000000000,Thursday,22,189.8
249,2017-11-17,291.3333333333333,5.166666666666667,n/a,1.0,12415.0,230.0,Chest,Lat Pulldown Pronated,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Friday,22,189.8
250,2017-11-29,215.83333333333334,5.5,n/a,1.0,5380.0,185.0,Chest,Flat Barbell Bench Press,12 days 00:00:00.000000000,12 days 00:00:00.000000000,Wednesday,22,189.8
251,2017-12-08,240.66666666666666,6.066666666666666,n/a,1.0,16735.0,195.0,Chest,Flat Barbell Bench Press,9 days 00:00:00.000000000,9 days 00:00:00.000000000,Friday,22,189.8
252,2017-12-19,253.33333333333334,7.7272727272727275,n/a,1.0,15450.0,200.0,Back,Flat Barbell Bench Press,11 days 00:00:00.000000000,41 days 00:00:00.000000000,Tuesday,22,181.0
