Date,Meal,Name,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre
31-May-16,Breakfast,"Starbucks - Grande Iced Skinny Caramel Machiatto, 16 oz",140,21,1,11,10,0,18,0
31-May-16,Breakfast,"Bethesda - Granola Bagel, 5 oz",350,68,4,11,0,20,11,3
1-Jun-16,Breakfast,"on - Gold Standard Natural Whey Protein (Vanilla), 1 rounded scoop (32g)",110,2,1,24,40,130,2,0
1-Jun-16,Breakfast,"Special K Protein Cereal - Cinnamon Brown Sugar, 62 g (0.75 Cup)",220,44,2,14,0,380,18,6
1-Jun-16,Breakfast,"Lucerne - Low Fat Milk 1%, 16 fluid ounce",260,32,5,22,30,320,30,0
1-Jun-16,Lunch,"Red Delicious - Apple, Small, 1 apple (2 1/2 &quot; diameter)",56,15,0,0,0,1,11,3
1-Jun-16,Lunch,"Chix Parm - Breaded Parmesan Chicken, 1.5 serving",792,47,27,65,296,1230,8,3
1-Jun-16,Dinner,"Green Giant Steamers - Broccoli &amp; Cheese Sauce, 3 cuo frozen/1/2 cup prepared",135,21,5,6,0,1140,9,6
1-Jun-16,Dinner,"Mla - Near East - Toasted Pine Nut Couscous, 1.5 Cup",300,59,4,12,0,690,3,3
1-Jun-16,Dinner,"Perdue - Perfect Portions Chicken Breast, 2 filet",280,4,3,58,140,740,2,0
1-Jun-16,Snacks,"Terra - Original Chips, 1 oz",150,16,9,1,0,115,3,2
1-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 1 scoop",120,3,1,24,30,130,1,0
2-Jun-16,Breakfast,"Trader Joe&#x27;s - Frosted Mini Wheats, 1 cup",200,42,1,5,0,0,11,5
2-Jun-16,Breakfast,"Tropicana - 100% Pure Orange Juice W/calcium &amp; Vitamin D, 8 oz",110,26,0,2,0,0,22,0
2-Jun-16,Breakfast,"Supermarket - Banana, 1 banana",105,27,0,0,0,1,0,3
2-Jun-16,Lunch,"Primo Taglio - Smoked honey ham, 16 slices",280,16,6,40,120,1600,12,0
2-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
2-Jun-16,Lunch,"Chobani - Greek Yogart Flip Peanut Butter Dream, 150 g",210,26,7,12,15,100,22,0
2-Jun-16,Lunch,"Old Tyme Schmidt - Honey wheat bread , 4 slice",320,60,2,12,0,520,8,4
2-Jun-16,Lunch,"Kraft - Mayo/ Olive Oil, 4 Tbsp",140,8,12,0,0,380,4,0
2-Jun-16,Dinner,"Birds Eye - Steamfresh Fresh Frozen Vegetables Lightly Sauced Broccoli, Cauliflower, Carrots With Cheese Sauce, 1 container (343 g (3/4 cup) ea.)",175,18,7,7,18,1190,7,4
2-Jun-16,Dinner,"Near East - Mediterranean Curry Couscous, 0.5 cup",330,60,2,12,0,750,3,5
2-Jun-16,Dinner,"Perdue - Perfect Portions Chicken Breast, 2 filet",280,4,3,58,140,740,2,0
2-Jun-16,Dinner,"Tropicana - Trop50 Pulp Free Calcium &amp; Vitamin D, 12 Oz",75,20,0,0,0,15,15,0
2-Jun-16,Snacks,"Welchs Mixed Fruit Fruit Snacks - Fat Free/real Fruit, 25.5 g",80,20,0,0,0,10,11,0
2-Jun-16,Snacks,"Mayfield - dairy pure 2% reduced fat milk, 2 cup",260,24,10,16,40,260,24,0
2-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 1.5 scoop",180,5,2,36,45,195,2,0
3-Jun-16,Breakfast,"Chobani - Greek Yogurt Flip - Peachy Pistachio, 1 Container",220,20,10,13,10,85,15,3
3-Jun-16,Breakfast,"Gold standard - Vanilla Whey Protein, 1.5 scoop",180,5,2,36,45,195,2,0
3-Jun-16,Breakfast,"Mayfield - dairy pure 2% reduced fat milk, 16 fluid ounce",260,24,10,16,40,260,24,0
3-Jun-16,Lunch,"Chobani - Greek Yogart Flip Peanut Butter Dream, 150 g",210,26,7,12,15,100,22,0
3-Jun-16,Lunch,"Kraft - Mayo/ Olive Oil, 4 Tbsp",140,8,12,0,0,380,4,0
3-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
3-Jun-16,Lunch,"Primo Taglio - Oven Roasted Turkey Breast, 18 slices/50g",300,6,3,66,120,2880,6,0
3-Jun-16,Lunch,"signature kitchen - whole wheat bread 100%, 4 slice",280,48,4,12,0,0,0,0
3-Jun-16,Snacks,"Chobani - Watermelon Blended Greek Yogurt, 150 grams",140,15,3,12,15,65,13,0
4-Jun-16,Breakfast,"Centrella - 2% Milk, 1.5 cup",195,18,8,12,30,195,18,0
4-Jun-16,Breakfast,"Gold standard - Vanilla Whey Protein, 1 scoop",120,3,1,24,30,130,1,0
4-Jun-16,Breakfast,"Aladdin Food - Bacon Quiche, 1 Wedge",586,24,44,24,276,880,1,0
4-Jun-16,Lunch,"signature kitchen - whole wheat bread 100%, 2 slice",140,24,2,6,0,0,0,0
4-Jun-16,Lunch,"Old Tyme Schmidt - Honey wheat bread , 2 slice",160,30,1,6,0,260,4,2
4-Jun-16,Lunch,"Chobani Greek Yogurt (Revised) - Simply 100 Blueberry, 150 grams",100,14,0,12,5,65,7,5
4-Jun-16,Lunch,"Chobani Simply 100 (Corrected) - Peach Greek Yogurt, 1 Container (150g)",100,14,0,12,5,65,7,5
4-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
4-Jun-16,Lunch,"Primo Taglio - Smoked honey ham, 16 slices",280,16,6,40,120,1600,12,0
4-Jun-16,Lunch,"Kraft Maccaroni and Cheese - Maccaroni and Cheese-Prepared, 2.5 oz",300,36,2,7,15,415,6,0
4-Jun-16,Snacks,"Quest - Chocolate Chip Cookie Dough (-erythritol), 1 Bar",190,20,9,21,5,210,1,16
4-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 2 scoop",240,6,2,48,60,260,2,0
5-Jun-16,Breakfast,"Trader Joe&#x27;s - Frosted Mini Wheats, 1 cup",200,42,1,5,0,0,11,5
5-Jun-16,Breakfast,"Tropicana - 100% Pure Orange Juice W/calcium &amp; Vitamin D, 8 oz",110,26,0,2,0,0,22,0
5-Jun-16,Lunch,"Tropicana - 100% Pure Orange Juice W/calcium &amp; Vitamin D, 8 oz",110,26,0,2,0,0,22,0
5-Jun-16,Lunch,"signature kitchen - whole wheat bread 100%, 2 slice",140,24,2,6,0,0,0,0
5-Jun-16,Lunch,"Kraft - Mayo/ Olive Oil, 4 Tbsp",140,8,12,0,0,380,4,0
5-Jun-16,Lunch,"Primo Taglio - Oven Roasted Turkey Breast, 9 slices/50g",150,3,2,33,60,1440,3,0
5-Jun-16,Lunch,"Chobani Simply 100 Greek Yogurt (5.3oz 150g) - Key Lime Blended, 1 container",100,16,0,12,5,90,8,5
5-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
5-Jun-16,Dinner,"Lime Cilantro Grilled Chicken, 1 serving(s)",450,13,17,65,200,187,1,1
5-Jun-16,Dinner,"Green Giant - Steamers Green Beans &amp; Almonds, 225 grams",120,12,6,3,0,240,3,3
5-Jun-16,Dinner,"Near East - Couscous Mix - Wild Mushroom &amp; Herb Made With 1 Tbsp Butter, 1.5 cup prepared",330,63,6,12,15,930,2,5
5-Jun-16,Dinner,"Lucerne - Low Fat Milk 1%, 1 cup",130,16,3,11,15,160,15,0
5-Jun-16,Snacks,"Tropicana - 100% Pure Orange Juice W/calcium &amp; Vitamin D, 8 oz",110,26,0,2,0,0,22,0
6-Jun-16,Breakfast,"Pepperidge Farm - 100% Whole Wheat Bagels, 2 bagel",500,98,3,22,0,600,18,12
6-Jun-16,Breakfast,"shaws peanut butter - peanut butter, 4 tbs",380,14,30,14,0,0,0,0
6-Jun-16,Breakfast,"Lucerne - Low Fat Milk 1%, 1 cup",130,16,3,11,15,160,15,0
6-Jun-16,Lunch,"Kraft - Mayo/ Olive Oil, 4 Tbsp",140,8,12,0,0,380,4,0
6-Jun-16,Lunch,"Pepperidge Farm - Whole Grain 100% Whole Wheat Corrected From Web Site, 4 Slice",440,80,8,20,0,420,12,12
6-Jun-16,Lunch,"Chobani &quot;crunch&quot; - Blueberry Cookie Crumble , 1 container",100,15,1,10,5,65,7,2
6-Jun-16,Lunch,"Fresh - White Peach - Medium, 1 peach, 150g",59,15,0,1,0,0,13,2
6-Jun-16,Lunch,"Nectarine - Nectarine, 100 gr",60,14,0,1,0,0,11,2
6-Jun-16,Lunch,"Primo Taglio - Ham Off the Bone W/Natural Juices Hickory Smoked, 16 Slices (57g)",280,8,8,40,100,1840,4,0
6-Jun-16,Dinner,"Green Giant - Steamers Antioxidant Blend Lightly Sauced, 2 cup",100,14,6,2,0,230,6,4
6-Jun-16,Dinner,"Lime Cilantro Grilled Chicken, 1 serving(s)",450,13,17,65,200,187,1,1
6-Jun-16,Dinner,"Near East - Couscous Parmesan, 0.5 container (3 cup prepareds ea.)",330,59,3,12,8,765,5,3
6-Jun-16,Dinner,"Lucerne - Low Fat Milk 1%, 1 cup",130,16,3,11,15,160,15,0
6-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 1.5 scoop",180,5,2,36,45,195,2,0
7-Jun-16,Breakfast,"Generic - Thomas Everything Bagel, 2 Bagel",560,104,6,18,0,820,14,4
7-Jun-16,Breakfast,"Lucerne - Low Fat Milk 1%, 1 cup",130,16,3,11,15,160,15,0
7-Jun-16,Breakfast,"shaws peanut butter - peanut butter, 4 tbs",380,14,30,14,0,0,0,0
7-Jun-16,Lunch,"Pepperidge Farm - Whole Grain Bread Ancient Grains, 172 g",440,80,6,20,0,440,12,12
7-Jun-16,Lunch,"Kraft - Mayo/ Olive Oil, 4 Tbsp",140,8,12,0,0,380,4,0
7-Jun-16,Lunch,"Primo Taglio - Ham Off the Bone W/Natural Juices Hickory Smoked, 16 Slices (57g)",280,8,8,40,100,1840,4,0
7-Jun-16,Lunch,"Chobani &quot;crunch&quot; - Blueberry Cookie Crumble , 1 container",100,15,1,10,5,65,7,2
7-Jun-16,Lunch,"Fresh - White Peach - Medium, 1 peach, 150g",59,15,0,1,0,0,13,2
7-Jun-16,Lunch,"Usda Website - Pear Danjou, 166 grams raw",96,26,0,1,0,2,16,5
7-Jun-16,Dinner,"Mcdonalds - Deluxe Quarter Pounder Meal (Large), 1 Meal",1320,184,52,35,85,1320,86,10
7-Jun-16,Snacks,"Angie&#x27;s - Boom Chicka Pop Sea Salt Popcorn .6 oz Bag, 1.2 oz (17g)",160,22,9,4,0,160,0,4
8-Jun-16,Breakfast,"Chobani - Greek Yogurt Vanilla Blended 5.3 oz, 5.3 oz",120,16,0,13,5,60,13,0
8-Jun-16,Breakfast,"Trader Joe&#x27;s - Frosted Mini Wheats, 1 cup",200,42,1,5,0,0,11,5
8-Jun-16,Lunch,"Chopt - Kale, 100 g",50,10,1,3,0,43,0,2
8-Jun-16,Lunch,"Chopt Salad Company - Walnuts, 28 grams",190,4,18,4,0,0,1,2
8-Jun-16,Lunch,"Chopt - Green Apples, 1/4 Cup Diced",20,6,0,0,0,0,5,1
8-Jun-16,Lunch,"Chopt - Quinoa, 113 g",140,24,2,5,0,10,1,3
8-Jun-16,Lunch,"Chopt Salad (Chop&#x27;t) - Egg Whites Portion, 1 Portion (64g)",30,1,0,7,0,105,0,0
8-Jun-16,Lunch,"Chopt - Black Beans, 57 g",70,13,0,5,0,135,0,5
8-Jun-16,Lunch,"Chopt - Avocado, 64 grams",100,5,9,1,0,0,0,4
8-Jun-16,Lunch,"Chopt - Freebird Grilled Chicken, 184 g",300,0,7,56,150,340,0,0
8-Jun-16,Lunch,"Organic - Millet, 1 cup cooked",207,41,2,6,0,3,0,2
8-Jun-16,Lunch,"Lentils - Lentils, 1 cup",230,40,1,18,0,4,4,16
8-Jun-16,Dinner,"Near East - Pearled Couscous Roasted Garlic &amp; Olive Oil (As Prepared), 1.5 cup prepared",465,81,11,12,0,1035,0,3
8-Jun-16,Dinner,"Green Giant - Healthy Vision Steamers, 1 cup prepared",90,12,4,2,10,440,6,4
8-Jun-16,Dinner,"Lucerne - Low Fat Milk 1%, 1 cup",130,16,3,11,15,160,15,0
8-Jun-16,Dinner,"Buffalo Chicken Sauce, 0.5 serving(s)",76,7,7,0,0,844,0,0
8-Jun-16,Dinner,"Perdue - Perfect Portions Chicken Breast, 2 filet",280,4,3,58,140,740,2,0
8-Jun-16,Snacks,"Angie&#x27;s - Boom Chicka Pop Sea Salt Popcorn .6 oz Bag, 0.6 oz (17g)",80,11,5,2,0,80,0,2
8-Jun-16,Snacks,"Pop Secret - 100 Calorie Pop - Butter, 1 bag",100,20,4,3,0,290,0,3
8-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 1.5 scoop",180,5,2,36,45,195,2,0
9-Jun-16,Breakfast,"Kind Protein Bar - Dark Chocolate Nuts &amp; Sea Salt, 1 Bar",200,16,15,6,0,125,5,7
9-Jun-16,Breakfast,"KIND - Peanut Butter Dark Chocolate, 1 bar",200,17,13,7,0,40,9,3
9-Jun-16,Breakfast,"Mayfield - dairy pure 2% reduced fat milk, 8 fluid ounce",130,12,5,8,20,130,12,0
9-Jun-16,Lunch,"Chipotle - Flour Tortilla (burrito), 1 ea",300,46,10,7,0,690,0,3
9-Jun-16,Lunch,"Chipotle - Cilantro-Lime Brown Rice, 4 oz",200,32,7,4,0,165,1,3
9-Jun-16,Lunch,"Chipotle - Black Beans, 4 oz",120,22,1,7,0,260,1,12
9-Jun-16,Lunch,"Chipotle - Fajita Vegetables, 2.5 oz",20,4,1,1,0,170,2,1
9-Jun-16,Lunch,"Chipotle - Chicken, 4 oz",180,0,7,32,125,310,0,1
9-Jun-16,Lunch,"Chipotle - Roasted Chili-Corn Salsa, 3.5 oz",80,16,2,3,0,330,4,3
9-Jun-16,Lunch,"Chipotle - Tomatillo-Green Chili Salsa, 2 fl oz",20,4,0,1,0,250,2,1
9-Jun-16,Lunch,"Chipotle - Guacamole, 3.5 oz",200,7,19,2,0,330,1,5
9-Jun-16,Dinner,"Green Giant - Steamers Green Beans &amp; Almonds, 225 grams",120,12,6,3,0,240,3,3
9-Jun-16,Dinner,"Safeway kitchens - low sodium dark red kidney beans, 260 g",220,38,0,14,0,240,4,12
9-Jun-16,Dinner,"Signature Farms - Fresh Chicken Wings, 4 oz",250,0,18,21,85,80,0,0
9-Jun-16,Dinner,"Lucerne - Low Fat Milk 1%, 1 cup",130,16,3,11,15,160,15,0
9-Jun-16,Dinner,"Yoplait Greek - 100 Calories Yogurt - Lemon (Corrected), 1 container",100,12,0,11,5,90,9,0
9-Jun-16,Snacks,"Dannon Light &amp; Fit Greek Nonfat Yogurt - Strawberry Cheesecake, 1 container (5.3oz/150g)",80,9,0,12,10,50,7,0
10-Jun-16,Breakfast,"KIND - Peanut Butter Dark Chocolate, 1 bar",200,17,13,7,0,40,9,3
10-Jun-16,Breakfast,"Kind Protein Bar - Dark Chocolate Nuts &amp; Sea Salt, 1 Bar",200,16,15,6,0,125,5,7
10-Jun-16,Breakfast,"Mayfield - dairy pure 2% reduced fat milk, 1 cup",130,12,5,8,20,130,12,0
10-Jun-16,Breakfast,"Chobani &quot;crunch&quot; - Blueberry Cookie Crumble , 1 container",100,15,1,10,5,65,7,2
10-Jun-16,Breakfast,"Chobani - Greek Yogurt Flip - Peachy Pistachio, 1 Container",220,20,10,13,10,85,15,3
10-Jun-16,Lunch,"Subway - Footlong Tuna, 476 g",960,88,50,40,70,1200,12,10
10-Jun-16,Lunch,"Subway - Avocado Guacamole, 2 scoop (35g)",120,12,10,2,6,0,0,6
10-Jun-16,Dinner,"O Organics - Pinto Beans, 0.75 cup",165,32,0,9,0,210,0,12
10-Jun-16,Dinner,"Green Giant - Creamed Spinach Steamers, 266 g",140,22,5,6,10,980,10,4
10-Jun-16,Dinner,"Perdue - Mesquite grilled chicken breast, 2 filet",280,4,4,54,170,720,0,0
10-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 1.5 scoop",180,5,2,36,45,195,2,0
11-Jun-16,Lunch,"Cheeseburger - Cheeseburger, 1.5 Burger",450,50,18,23,60,1020,11,3
11-Jun-16,Lunch,"Orzo - Orzo, 1 cup",200,42,1,7,0,0,2,2
11-Jun-16,Lunch,"Watermelon, raw, 4.5 cup, diced",205,52,1,4,0,7,42,3
11-Jun-16,Dinner,"Birdseye - Broccoli lightly sauced with cheese , 339 gram",180,15,8,9,15,1140,6,6
11-Jun-16,Dinner,"Signature Kitchens - Black Beans Canned, 1 container (1.8 cups ea.)",385,70,0,25,0,1505,7,28
11-Jun-16,Dinner,"Perdue - Mesquite grilled chicken breast, 2 filet",280,4,4,54,170,720,0,0
11-Jun-16,Dinner,"Safeway-lucerne - 1 Gal. Low Fat Milk 1%, 4 fluid ounce",55,7,1,5,8,65,6,0
11-Jun-16,Snacks,"Safeway - 100% Juice Tropical Blend - Orange Strawberry Banana, 8 fl. oz.",120,29,0,1,0,10,23,0
11-Jun-16,Snacks,"Chobani Simply 100 - Blueberry Cookie Crumble, 1 container",100,15,1,10,5,65,7,2
11-Jun-16,Snacks,"Chobani Simply 100 (Corrected) - Peach Greek Yogurt, 1 Container (150g)",100,14,0,12,5,65,7,5
12-Jun-16,Breakfast,"Safeway - 100% Juice Tropical Blend - Orange Strawberry Banana, 8 fl. oz.",120,29,0,1,0,10,23,0
12-Jun-16,Lunch,"Pepperidge Farm - 100% Whole Wheat Bagels, 1 bagel",250,49,2,11,0,300,9,6
12-Jun-16,Lunch,"Generic - Thomas Everything Bagel, 1 Bagel",280,52,3,9,0,410,7,2
12-Jun-16,Lunch,"Safeway-lucerne - 1 Gal. Low Fat Milk 1%, 2 cup",220,26,5,18,30,260,24,0
12-Jun-16,Lunch,"shaws peanut butter - peanut butter, 4 tbs",380,14,30,14,0,0,0,0
12-Jun-16,Dinner,"Quick Add - Myfitnesspal Premium, 1 serving(s)",1200,0,0,0,0,0,0,0
12-Jun-16,Snacks,"Welch&#x27;s - Sparkling White Grape Juice, 1 cup",160,40,0,0,0,45,38,0
13-Jun-16,Breakfast,"Kashi Berry Fruitful - Kashi Berry Fruitful Cereal, 29 Biscuits (55g)",170,42,1,6,0,0,8,6
13-Jun-16,Breakfast,"Lucerne - Vitamin D Milk (Whole), 1 cup",160,13,8,9,35,135,12,0
13-Jun-16,Breakfast,"shaws peanut butter - peanut butter, 2 tbs",190,7,15,7,0,0,0,0
13-Jun-16,Breakfast,"Pepperidge Farm - 100% Whole Wheat Bagels, 1 bagel",250,49,2,11,0,300,9,6
13-Jun-16,Lunch,"Washington - Honey Crisp Apple, 1 lb(s)",260,68,0,2,0,0,50,10
13-Jun-16,Lunch,"Ataulfo - Mango, 165 g (325g)",107,28,0,1,0,3,24,3
13-Jun-16,Lunch,"Primo Taglio - Smoked honey ham, 16 slices",280,16,6,40,120,1600,12,0
13-Jun-16,Lunch,"Pepperidge Farm - Whole Grain Bread Ancient Grains, 172 g",440,80,6,20,0,440,12,12
13-Jun-16,Lunch,"Signature Kitchens - Black Beans Canned, 0.5 cup",110,20,0,7,0,430,2,8
13-Jun-16,Dinner,"Timea - Avocado, 0.75 Medium Avocado (150g)",128,11,20,2,0,11,0,9
13-Jun-16,Dinner,"Green Giant - Steamers Antioxidant Blend Lightly Sauced, 2 cup",100,14,6,2,0,230,6,4
13-Jun-16,Dinner,"Near East - Couscous Parmesan, 1.5 Cup Prepared",330,59,3,12,8,765,5,3
13-Jun-16,Dinner,"Bush&#x27;s Best - Reduced Sodium Black Beans (Grams), 130 g (1/2c)",120,23,1,7,0,240,1,6
13-Jun-16,Dinner,"Shady Brook farms - Fresh turkey breast chops, 8 oz",220,0,2,50,120,480,0,0
13-Jun-16,Dinner,"Guerrero - Soft Taco Flour Tortillas, 2 tortilla (58g)",360,54,10,8,0,880,2,2
13-Jun-16,Snacks,"Chobani - Greek Yogurt Flip Chocolate Haze Craze, 1 container",240,26,10,12,15,65,22,1
13-Jun-16,Snacks,"Gold standard - Vanilla Whey Protein, 1.5 scoop",180,5,2,36,45,195,2,0
14-Jun-16,Breakfast,"Quaker Chocolate Chunk Granola Bar - Chewy Chocolate Chip Granola Bar 25% Less Sugar, 1 bar  (24g)",100,17,4,1,0,75,5,3
14-Jun-16,Breakfast,"Chobani - Coffee Break Bliss, 1 container",190,25,5,12,15,95,18,1
14-Jun-16,Breakfast,"Chobani - Greek Yogurt Flip - Peachy Pistachio, 1 Container",220,20,10,13,10,85,15,3
14-Jun-16,Breakfast,"Mayfield - dairy pure 2% reduced fat milk, 2 cup",260,24,10,16,40,260,24,0
14-Jun-16,Lunch,"Chobani &quot;crunch&quot; - Blueberry Cookie Crumble , 1 container",100,15,1,10,5,65,7,2
14-Jun-16,Lunch,"Pepperidge Farm - Whole Grain 100% Whole Wheat Corrected From Web Site, 4 Slice",440,80,8,20,0,420,12,12
14-Jun-16,Lunch,"Timea - Avocado, 0.5 Medium Avocado (150g)",85,8,13,2,0,7,0,6
