Date,Back,Biceps,Biceps+Back
6/1/2016,82290,53940,136230
6/4/2016,,,
6/6/2016,25920,,25920
6/8/2016,,,
6/10/2016,53600,65100,118700
6/11/2016,,,
6/13/2016,,,
6/16/2016,,,
6/18/2016,,,
6/22/2016,26880,,26880
6/23/2016,84000,2880,86880
6/24/2016,,,
6/25/2016,73100,,73100
6/29/2016,19200,,19200
6/30/2016,28750,,28750
7/1/2016,124700,13500,138200
7/2/2016,,,
7/4/2016,,,
7/5/2016,39200,,39200
7/6/2016,90800,96120,186920
7/9/2016,,,
7/11/2016,27840,,27840
7/14/2016,30500,,30500
7/15/2016,20000,55200,75200
7/16/2016,,,
7/18/2016,,,
7/19/2016,31250,,31250
7/25/2016,31875,,31875
7/27/2016,28800,,28800
8/2/2016,33125,,33125
8/3/2016,48375,3150,51525
8/6/2016,,,
8/8/2016,29760,,29760
8/9/2016,,,
8/10/2016,750,3450,4200
8/12/2016,,,