Date of Workout,Unformatted Date,Exercise Duration (ms),Previous Day,Resting Heart Rate,Prior Day's Calories,Prior Day's Carbs (g),Prior Day's Fat (g),Prior Day's Protein (g),Prior Day's Carbs %,Prior Day's Fat %,Prior Day's Protein %,Sleep That Night,Minutes of Waking up in the Middle of the Night,Weight,Exercise Duration (min),Cals Burnt,Cals/Min,Avg â™¥Rate,Exercise Day,Workout Volume,Rolling Average,Workout Volume/Min,Chest,Biceps,Shoulders,Legs,Biceps+Back Volume
6/8/2016,2016-06-08T18:04:52.000-04:00,7273000,6/7/2016,68,3665,492,127,154,13.42,3.47,4.20,354,15,223,121,880,7.26,115,Legs,612560,,5053.430496,0,0,0,1,136230
6/10/2016,2016-06-10T19:29:18.000-04:00,11313000,6/9/2016,65,2550,263,107,150,10.31,4.20,5.88,370,19,223,189,1768,9.38,122,Biceps,351742.5,482151.25,1865.513126,0,1,0,0,
6/11/2016,2016-06-11T13:34:27.000-04:00,5095000,6/10/2016,66,2695,243,115,191,9.02,4.27,7.09,532,34,223,85,1003,11.81,134,Chest,13800,326034.1667,162.5122669,1,0,0,0,25920
6/13/2016,2016-06-13T18:49:03.000-04:00,6494000,6/12/2016,66,2610,210,40,53,8.05,1.53,2.03,291,16,223,108,902,8.33,117,Shoulders,95680,268445.625,884.0160148,0,0,1,0,
6/18/2016,2016-06-18T13:50:35.000-04:00,7919000,6/17/2016,65,3019,195,72,118,6.46,2.38,3.91,515,30,222,132,1232,9.33,120,Chest,419520,298660.5,3178.583154,1,0,0,0,118700
6/23/2016,2016-06-23T07:05:12.000-04:00,3805000,6/22/2016,65,2957,176,34,181,5.95,1.15,6.12,348,42,221,63,608,9.59,123,Biceps,118580,268647.0833,1869.855453,0,1,0,0,
6/30/2016,2016-06-30T20:12:17.000-04:00,2928000,6/29/2016,64,3161,319,56,130,10.09,1.77,4.11,426,57,219,49,422,8.65,117,Legs,1036875,378393.9286,21247.43852,0,0,0,1,
7/1/2016,2016-07-01T16:10:54.000-04:00,7160000,6/30/2016,65,2817,280,79,242,9.94,2.80,8.59,573,53,219,119,1093,9.16,120,Biceps,387800,379569.6875,3249.72067,0,1,0,0,
7/2/2016,2016-07-02T17:24:38.000-04:00,2700000,7/1/2016,65,1955,234,45,170,11.97,2.30,8.70,606,46,219,45,408,9.07,122,Chest,134550,352345.2778,2990,1,0,0,0,
7/4/2016,2016-07-04T10:44:21.000-04:00,4663000,7/3/2016,66,2032,240,51,168,11.81,2.51,8.27,509,37,219,78,862,11.09,129,Shoulders,167860,333896.75,2159.897062,0,0,1,0,26880
7/5/2016,2016-07-05T19:40:23.000-04:00,4834000,7/4/2016,66,3453,386,99,288,11.18,2.87,8.34,273,27,219,81,796,9.88,124,Legs,1559460,445311.5909,19356.14398,0,0,0,1,86880
7/6/2016,2016-07-06T18:59:48.000-04:00,6845000,7/5/2016,65,4063,455,162,186,11.20,3.99,4.58,438,43,219,114,1008,8.84,118,Biceps,521725,451679.375,4573.192111,0,1,0,0,
7/9/2016,2016-07-09T12:28:17.000-04:00,5502000,7/8/2016,62,1741,164,69,133,9.42,3.96,7.64,516,47,218,92,1083,11.81,133,Chest,105780,425071.7308,1153.544166,1,0,0,0,73100
7/11/2016,2016-07-11T19:09:25.000-04:00,6971000,7/10/2016,62,1713,183,36,183,10.68,2.10,10.68,380,36,218,116,1143,9.84,122,Shoulders,574750,435763.0357,4946.922967,0,0,1,0,19200
7/14/2016,2016-07-14T07:04:35.000-04:00,4603000,7/13/2016,62,2304,180,41,130,7.81,1.78,5.64,330,22,218,77,892,11.63,133,Legs,669940,451374.8333,8732.652618,0,0,0,1,28750
7/15/2016,2016-07-15T19:04:44.000-04:00,6700000,7/14/2016,63,3282,343,112,248,10.45,3.41,7.56,409,11,218,112,931,8.34,120,Biceps,142000,432038.9063,1271.641791,0,1,0,0,138200
7/16/2016,2016-07-16T13:47:03.000-04:00,7465000,7/15/2016,64,2830,329,78,235,11.63,2.76,8.30,555,105,218,124,886,7.12,112,Chest,545715,438725.7353,4386.188881,1,0,0,0,
7/18/2016,2016-07-18T18:31:20.000-04:00,13894000,7/17/2016,62,1990,136,59,40,6.83,2.96,2.01,463,52,218,232,1012,4.37,114,Shoulders,45080,416856.5278,194.67396,0,0,1,0,
7/19/2016,2016-07-19T18:53:36.000-04:00,6704000,7/18/2016,63,2312,199,46,90,8.61,1.99,3.89,.,.,218,112,1058,9.47,122,Legs,1496835,473697.5,13396.49463,0,0,0,1,39200
7/21/2016,2016-07-21T20:27:57.000-04:00,2619000,7/20/2016,63,2617,277,94,201,10.58,3.59,7.68,382,42,217,44,522,11.96,131,,,473697.5,,0,0,0,0,186920
7/22/2016,2016-07-22T19:25:28.000-04:00,5699000,7/21/2016,64,3534,271,60,152,7.67,1.70,4.30,329,47,216,95,949,9.99,124,Forearms,,473697.5,,0,0,0,0,
7/23/2016,2016-07-23T21:36:11.000-04:00,1799000,7/22/2016,64,3052,437,61,243,14.32,2.00,7.96,456,44,216,30,408,13.61,142,,,473697.5,,0,0,0,0,27840
7/25/2016,2016-07-25T18:48:09.000-04:00,6293000,7/24/2016,62,2415,237,106,143,9.81,4.39,5.92,341,40,215,105,943,8.99,118,Legs,1460150,523020.125,13921.65899,0,0,0,1,30500
7/27/2016,2016-07-27T19:39:01.000-04:00,4434000,7/26/2016,62,3002,419,92,155,13.96,3.06,5.16,365,29,215,74,582,7.88,114,Shoulders,196480,507470.5952,2658.728011,0,0,1,0,75200
7/28/2016,2016-07-28T19:14:37.000-04:00,5772000,7/27/2016,62,3062,243,35,194,7.94,1.14,6.34,405,48,215,96,1110,11.54,135,Forearms,,507470.5952,,0,0,0,0,
7/30/2016,2016-07-30T19:04:46.000-04:00,2754000,7/29/2016,62,1366,217,38,72,15.89,2.78,5.27,461,28,214,46,422,9.19,113,,,507470.5952,,0,0,0,0,
8/1/2016,2016-08-01T20:08:05.000-04:00,2561000,7/31/2016,60,1636,46,23,65,2.81,1.41,3.97,407,39,214,43,264,6.19,109,,,507470.5952,,0,0,0,0,31250
8/2/2016,2016-08-02T19:25:27.000-04:00,5393000,8/1/2016,60,2583,318,42,263,12.31,1.63,10.18,654,91,214,90,778,8.66,116,Legs,1587495,556562.6136,17661.72817,0,0,0,1,31875
8/3/2016,2016-08-03T19:53:33.000-04:00,4065000,8/2/2016,61,2706,266,69,269,9.83,2.55,9.94,552,69,214,68,574,8.47,114,Biceps,78750,535788.1522,1162.361624,0,1,0,0,28800
8/6/2016,2016-08-06T14:20:48.000-04:00,6038000,8/5/2016,63,3154,224,46,169,7.10,1.46,5.36,288,25,214,101,808,8.03,117,Chest,59000,515921.9792,586.28685,1,0,0,0,33125
8/8/2016,2016-08-08T18:26:36.000-04:00,6655000,8/7/2016,62,2302,259,89,127,11.25,3.87,5.52,492,66,214,111,1172,10.57,124,Shoulders,271700,506153.1,2449.586777,0,0,1,0,51525
8/9/2016,2016-08-09T18:21:09.000-04:00,7233000,8/8/2016,61,2655,229,70,300,8.63,2.64,11.30,483,73,214,121,1015,8.42,116,Legs,930720,522482.5962,7720.613853,0,0,0,1,
8/10/2016,2016-08-10T21:07:54.000-04:00,5043000,8/9/2016,62,2440,266,59,235,10.90,2.42,9.63,,,214,84,775,9.22,118,Biceps,43225,504732.3148,514.2772159,0,1,0,0,29760
8/12/2016,2016-08-12T18:25:36.000-04:00,7378000,8/11/2016,,,,,,,,,,,,123,959,7.80,115,Chest,476850,503736.5179,3877.880184,1,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4200